brand,name,price,category,subcategory,image
Meu Biju,Aveia MEU BIJU 8 Grãos 500g ,"R$ 6,19",Alimentos Básicos,Arroz,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-fbe3db93869a47ef9a3ba56079503133.png
Seara,Ervilha SEARA 300g,"R$ 4,99",Alimentos Básicos,Granel,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-d5f73f6622004764aa4e4f1cb4187062.jpeg
Nippon,Milho de Pipoca NIPPON 500g,"R$ 2,49",Alimentos Básicos,Granel,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-4edc419ff9a349fe85d3241c1dfe03ac.jpeg
Lunar,Farinha de Trigo LUNAR Premium 1Kg,"R$ 3,79",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-8a39151ab91e4e7c94edbef2523d1b32.jpeg
Finna,Farinha de Trigo FINNA 1Kg,"R$ 3,49",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-3f8d0abff53d41e3bacc5f88d7a432cd.jpeg
Nissin Miojo,Macarrão Instantâneo TALHARIM 99g Frango ,"R$ 2,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-90c7bf3b68f748a8a52b8f36eedcc463.png
QUERO,Seleta de Legumes QUERO Lata 200g,"R$ 2,99",Alimentos Básicos,Conservas e Enlatados,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-91a977f4857e4b16b047215709f04d91.jpeg
Massimex,Atum Ralado SAINT PAUL Natural 170g,"R$ 4,59",Alimentos Básicos,Conservas e Enlatados,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-cf2ed14a9a3d4cca8e8e91c1f75c0cb7.jpeg
Paganini,Macarrão PAGANINI Tagliatelle 500g,"R$ 5,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-e3c70ef430a3456082e43afc2fa486d0.jpg
Paganini,Macarrão PAGANINI Espaguete 500g,"R$ 5,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-d694b793b4d04e66b3e454214207b62a.jpeg
Renata,Macarrão RENATA Grano Duro Spaguetti Nº8 500g,"R$ 7,49",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-201602091546484445220c1ed874aecb4610b0e7c457cf3c3832.jpg
Emegê,Macarrão Integral EMEGÊ Espaguete 500g,"R$ 4,69",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-1732cd17759e463aac2e9167d06a715d.jpg
Renata,Macarrão RENATA Tricolori Fusilli 500g,"R$ 6,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-135a97ef8af449a89e9939eb9f641fda.jpg
Paganini,Macarrão PAGANINI Penne Rigatoni 500g,"R$ 5,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-00de1b7298184982a3e3697b214dba95.png
Nissin Lámen,Macarrão Instantâneo NISSIN LÁMEN Hot Calabresa 85g,"R$ 1,49",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-99e060d177c84e35b83d9c8daa413977.jpg
Emegê,Macarrão EMEGÊ Tricolori Parafuso 500g,"R$ 4,49",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-0761f654a57a45149bae215e43d41e69.jpg
Nissin Lámen,Macarrão Instantâneo NISSIN LÁMEN Legumes 85g,,Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20160209154652382340177135b4abc7452095d8db992298956f.jpg
Nissin Lámen,Macarrão Instantâneo NISSIN LÁMEN Galinha 85g,,Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20160209154651244793662d4f3c54454a98bab91d77e8fb10be.jpg
Turma da Mônica,Macarrão Instantâneo TURMA DA MÔNICA Caldinho de feijão 85g,"R$ 1,49",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-80b20d50b53d4d5b8d269c5157cbc6c9.jpg
Nissin Lámen,Macarrão Instantâneo NISSIN LÁMEN Picanha 85g,,Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20160209154652571327beaa5109e51e4e48bd242123061fc112.jpg
Nissin Lámen,Macarrão Instantâneo NISSIN LÁMEN Hot Mexicano 85g,"R$ 1,49",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-070e9258fc7e42b593935efde88273fc.jpg
Talharim,Macarrão Instantâneo TALHARIM Alho e Óleo 99g,"R$ 2,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-d245a7086b504b2bbfda6dfdd55b8757.jpg
Turma da Mônica,Macarrão Instantâneo TURMA DA MÔNICA Carne Suave 85g,"R$ 1,49",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-2016020915465225443404ac0af558194d489398917ed015e34d.jpg
Nissin,Macarrão Instantâneo Cremoso NISSIN 4 Queijos 88g,,Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-201602091546531825395cec32fe33f54226872b2fabb6087b0b.jpg
Talharim,Macarrão Instantâneo TALHARIM Carne com Tomate 99g,"R$ 2,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-9e9da74e2f8a418ea925bbe06f324ccd.jpeg
Urbano,Macarrão de Arroz URBANO Padre Nosso 500g,"R$ 3,46",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-3fe53f4b958047309755ed1ab35957fb.jpg
Talharim,Macarrão Instantâneo TALHARIM Calabresa 99g,"R$ 2,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20160209154652008751c170031657714a23b858c7c41d766d6f.jpg
Talharim,Macarrão Instantâneo TALHARIM Brócolis ao Molho Branco 99g,"R$ 2,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-2016020915465192804006fd472f0f7b45069143ec185e877f4c.jpg
Talharim,Macarrão Instantâneo TALHARIM Bolonhesa 99g,"R$ 2,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20160209154652518001684b2b6286ac4f89904cc338105d526c.jpg
Urbano,Macarrão de Arroz URBANO Parafuso 500g,"R$ 3,46",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-e5fbd9a488cd4ff6a49b16347237cfcd.jpeg
Urbano,Macarrão de Arroz URBANO Pena 500g,"R$ 3,46",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20160209154648725457191854666b294be1a088f9ae3921144c.jpg
Urbano,Macarrão de Arroz Integral URBANO Pena 500g,"R$ 5,59",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-146900c1ff414a2bbf069c528ca9a216.jpg
Urbano,Macarrão de Arroz Integral URBANO Parafuso 500g,"R$ 5,59",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-c87ab58e07974610a1231d0dd1d09591.jpg
Paganini,Macarrão PAGANINI Fettuccine 500g,"R$ 5,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-f6ed6a3806884015a62d6e48583ea306.jpeg
Paganini,Macarrão PAGANINI Linguine 500g,"R$ 6,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-a8f79894b7f349bfb59776105fea0ff9.jpeg
Fit Food,Espaguete de Feijão FIT FOOD Azuki 200g,"R$ 14,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-fbfb139924a74b1a917b3d04eaeae1c7.jpg
Fit Food,Espaguete de Feijāo FIT FOOD Preto 200g,"R$ 14,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-56b9eb8566074152b349bd6a62b1b66c.jpg
Paganini,Macarrão sem Glúten PAGANINI Fusilli 250g,"R$ 16,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-58effa7034d84afdb0bafe3a798ae068.jpeg
Renata,Macarrão RENATA Tricolori Parafuso 500g,"R$ 6,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-de4f9854c9af4eb59bd9e249830fd0d3.jpeg
Barilla,Massa Lasanha BARILLA sem Ovos 250g,"R$ 14,89",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-4266358f449142549f07b04b94dad1a0.jpeg
Barilla,Massa BARILLA Penne Rigate 500g,"R$ 14,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-fa0479fc86484ae597f1f8a87045c124.jpeg
Barilla,Massa BARILLA Mini Penne Rigate 500g,"R$ 14,98",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-e4f380db93c24a4a974292f76b38c969.jpeg
Barilla, Massa BARILLA Farfalle 500g,"R$ 14,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-6a8a16c20d5e48a4b23bca4d20a77af5.jpeg
